ID/ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
35,70.39,73.9,61.49,64.73,59.97,90.91,63.22,88.49,108.27,48.04,73.75,86.33,46.93,39.08,45.35,44.09,52.19,34.64,47.12,68.37,143.47,65.17,74.49,62.62,0.0,0.0,48.23,37.36,69.53,53.08,54.63,53.82,458.16,69.82,0.0,80.96,129.69,61.45,16.33,20.27,34.45,57.68,82.57,80.24,53.76,65.21,52.3,68.26,62.88,63.16,75.51,80.24,77.67,65.17
36,28.08,7.27,107.42,18.64,58.04,22.73,23.89,20.31,41.49,46.28,9.09,18.16,39.85,68.98,39.64,39.35,43.54,69.5,46.67,28.28,96.68,57.77,32.1,60.69,80.65,80.65,33.43,56.96,53.67,128.64,111.18,37.83,533.72,28.92,80.65,0.0,82.89,38.45,78.93,66.17,49.0,39.77,92.62,16.73,44.14,19.9,40.18,66.33,32.8,59.07,57.14,16.73,18.23,57.77
37,109.28,85.71,185.14,98.92,92.38,108.59,76.23,106.17,93.45,87.04,81.07,104.01,93.85,109.07,91.05,93.35,116.21,109.59,83.67,105.01,14.63,60.74,61.34,64.53,128.75,128.75,87.58,116.55,62.57,176.74,178.28,108.52,581.82,106.47,128.75,85.23,0.0,98.1,138.52,114.27,96.25,100.22,170.21,97.92,103.79,99.39,107.05,62.01,99.53,152.51,138.34,97.92,99.42,60.74
38,11.93,29.87,84.14,20.7,39.4,46.87,23.07,44.45,64.23,22.35,29.71,42.3,19.23,48.86,19.02,18.74,19.79,49.38,26.55,16.55,110.16,44.6,40.79,42.05,60.53,60.53,20.93,21.58,48.96,86.26,81.91,12.1,513.6,18.0,60.53,36.93,96.38,0.0,45.19,46.05,28.88,8.23,79.2,36.21,7.36,21.17,10.63,47.69,11.07,44.35,49.96,36.21,25.86,44.6
39,48.99,72.1,44.56,62.93,70.75,86.43,64.33,84.01,106.47,58.81,71.95,81.85,57.71,49.62,56.12,54.87,37.68,45.42,57.9,52.06,151.43,75.95,82.06,73.4,16.08,16.08,59.01,23.07,80.3,46.69,42.33,39.31,469.16,52.7,16.08,79.16,137.65,47.16,0.0,31.04,45.23,37.88,68.05,75.76,39.25,63.41,37.79,79.04,56.07,48.65,61.0,75.76,61.45,75.95
40,55.73,59.23,76.65,50.07,45.31,76.24,48.56,73.82,93.6,33.37,59.08,71.67,32.27,24.2,30.68,29.43,64.9,20.0,32.46,53.7,128.8,50.51,59.83,47.96,20.26,20.26,33.57,52.53,54.86,68.25,69.79,57.21,473.33,55.15,20.26,66.3,115.02,46.79,31.51,0.0,19.79,43.01,97.74,65.57,52.47,50.54,55.74,53.6,48.22,78.33,90.68,65.57,63.01,50.51
41,39.78,43.29,90.73,34.12,21.72,60.3,32.22,57.88,77.66,15.2,43.14,55.72,14.09,20.28,12.51,12.61,48.95,20.8,15.64,37.76,111.99,33.69,43.01,31.14,34.34,34.34,15.4,45.33,38.05,82.33,83.87,41.26,487.41,39.21,34.34,50.35,98.21,30.84,45.59,19.86,0.0,27.07,98.99,49.63,36.53,34.6,39.79,36.78,32.27,81.29,93.64,49.63,47.06,33.69
42,19.14,32.8,81.21,23.63,36.5,49.81,28.02,47.39,67.17,22.27,32.65,45.23,19.15,45.96,18.94,15.89,23.06,46.48,23.64,19.61,115.12,41.7,45.75,39.15,57.62,57.62,20.84,15.45,46.05,83.33,78.98,15.37,510.69,21.06,57.62,39.86,101.34,8.32,42.26,43.14,25.98,0.0,73.94,39.14,10.64,24.11,13.91,44.78,14.13,56.25,68.6,39.14,28.91,41.7
43,72.42,103.85,55.0,94.69,109.58,102.03,96.09,99.61,138.22,92.9,103.7,97.45,89.78,119.04,89.57,89.29,54.3,119.56,96.73,75.38,183.18,114.78,113.81,112.23,83.45,83.45,91.48,63.94,119.13,74.93,58.76,73.48,512.94,76.02,83.45,93.64,169.4,78.91,68.67,98.41,99.06,75.07,0.0,81.51,73.41,95.16,71.95,117.87,87.83,43.35,40.03,81.51,77.05,114.78
44,26.45,18.28,105.79,18.69,59.57,18.21,33.92,15.79,55.58,43.01,24.2,13.64,39.89,69.03,39.69,39.4,41.9,69.55,46.72,26.65,110.77,64.77,46.19,62.22,80.7,80.7,41.59,57.01,60.23,128.69,109.55,36.19,533.77,27.29,80.7,16.22,96.98,38.5,76.01,66.22,49.05,39.81,80.28,0.0,38.77,19.95,38.55,67.86,31.17,47.91,41.82,0.0,16.6,64.77
